SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,LatLng
CB142A,1400 HOPE ST,Single-Space,TOD,$1.50 - $2.00,4HR,"(34.037345, -118.26693)"
CB3205,101 8TH ST,Single-Space,FLAT,$7.00,2HR,"(34.042166, -118.252448)"
CC1146,501 CESAR E CHAVEZ AVE,Single-Space,FLAT,$1.00,4HR,"(34.059698, -118.242071)"
SH230,1001 HIGHLAND AVE,Single-Space,FLAT,$1.50,1HR,"(34.090123, -118.33872)"
SH39,1101 VINE ST,Single-Space,FLAT,$1.50,1HR,"(34.091265, -118.326748)"
SH323,6500 SANTA MONICA BLVD,Single-Space,FLAT,$1.50,2HR,"(34.090642, -118.331852)"
SH232,1001 HIGHLAND AVE,Single-Space,FLAT,$1.50,1HR,"(34.089993, -118.33872)"
LH279,100 AVENUE 24,Single-Space,FLAT,$1.50,2HR,"(34.074755, -118.216892)"
AE327,500 TEMPLE ST,Single-Space,FLAT,$1.50,2HR,"(34.050216, -118.234087)"
BH388,2001 1ST ST,Single-Space,FLAT,$1.50,1HR,"(34.045127, -118.214051)"
BH397,1901 1ST ST,Single-Space,FLAT,$1.50,1HR,"(34.045769, -118.215492)"
GA147,3300 GLENDALE BLVD,Single-Space,FLAT,$1.50,1HR,"(34.119648, -118.258804)"
C159,3701 VERMONT AVE,Single-Space,FLAT,$1.50,4HR,"(34.01914, -118.291679)"
ER129,2000 COLORADO BLVD,Single-Space,FLAT,$1.50,2HR,"(34.139026, -118.212405)"
C115,3501 VERMONT AVE,Single-Space,FLAT,$1.50,4HR,"(34.023303, -118.291681)"
WU607,1500 7TH ST,Single-Space,FLAT,$1.50,1HR,"(34.053443, -118.270347)"
SL262,3001 SUNSET BLVD,Single-Space,FLAT,$1.50,2HR,"(34.084011, -118.274021)"
WA1258,100 ALVARADO ST,Single-Space,FLAT,$1.50,1HR,"(34.064377, -118.271661)"
VW722,3301 WILSHIRE BLVD,Single-Space,FLAT,$1.50,1HR,"(34.061874, -118.295795)"
VW718,3301 WILSHIRE BLVD,Single-Space,FLAT,$1.50,1HR,"(34.061881, -118.294743)"
SL540,2801 ROWENA AVE,Single-Space,FLAT,$1.50,2HR,"(34.107796, -118.265697)"
VW1615,2601 PICO BLVD,Single-Space,FLAT,$1.50,1HR,"(34.047327, -118.295249)"
VW1369,3100 8TH ST,Single-Space,FLAT,$1.50,1HR,"(34.057659, -118.294455)"
WW2096,3900 WILSHIRE BLVD,Single-Space,FLAT,$1.50,1HR,"(34.061597, -118.313165)"
SVV320,4201 MELROSE AVE,Single-Space,JUMP,$1.5/H - $6/6H,6HR,"(34.083668, -118.293193)"
WN281A,100 G ST,Single-Space,FLAT,$1.50,2HR,"(33.778415, -118.263185)"
WW1367,601 WESTERN AVE,Single-Space,FLAT,$1.50,1HR,"(34.082644, -118.309248)"
WW34,500 WESTERN AVE,Single-Space,FLAT,$1.50,1HR,"(34.063801, -118.309001)"
WW1881A,3200 OLYMPIC BLVD,Single-Space,FLAT,$1.50,1HR,"(34.052534, -118.307988)"
WW821,600 NORMANDIE AVE,Single-Space,FLAT,$1.50,2HR,"(34.062945, -118.30029)"
WW1647,3301 8TH ST,Single-Space,FLAT,$1.50,1HR,"(34.057783, -118.30143)"
WW2392,3001 PICO BLVD,Single-Space,FLAT,$1.50,1HR,"(34.047279, -118.308391)"
VH149,1900 HILLHURST AVE,Single-Space,FLAT,$1.50,2HR,"(34.10702, -118.287318)"
L276,301 LARCHMONT BLVD,Single-Space,FLAT,$1.50,2HR,"(34.077264, -118.323768)"
LM816,601 SYCAMORE AVE,Single-Space,FLAT,$1.50,2HR,"(34.083159, -118.34283)"
HW400,1701 WESTERN AVE,Single-Space,FLAT,$1.50,1HR,"(34.103544, -118.309381)"
HW483,5500 HOLLYWOOD BLVD,Single-Space,FLAT,$1.50,1HR,"(34.101635, -118.311255)"
MM439,5900 6TH ST,Single-Space,FLAT,$1.50,4HR,"(34.064789, -118.355847)"
PR465,1400 OAKHURST DR,Single-Space,FLAT,$1.50,1HR,"(34.055043, -118.390948)"
MM432,5900 6TH ST,Single-Space,FLAT,$1.50,4HR,"(34.064787, -118.356416)"
