issue_date,issue_time,marked_time,color,location,agency,violation_code,violation_description,fine_amount,latitude,longitude,agency_description,issue_year
2019-07-18,805.0,,GY,101 GRANVILLE AVE,51.0,5200,DISPLAY OF PLATES,25.0,6418799.538707,1845918.353389,,2019.0
2019-03-03,1205.0,,BK,1056 SANBORN AVE N,54.0,80.58L,PREFERENTIAL PARKING,68.0,6476594.44194,1855798.548887,,2019.0
2019-10-26,1243.0,,GY,11900 SAN VICENTE BL,51.0,80.56E1,WHITE ZONE,58.0,6418423.925086,1841658.939811,51 - DOT - WESTERN,2019.0
2019-01-26,1102.0,,WT,2200 WESTWOOD BL,51.0,88.13B+,METER EXP.,63.0,6430876.50843,1838631.834628,,2019.0
2019-02-28,1209.0,,SL,6925 WHITSETT AVE,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6439123.354263,1894105.451118,,2019.0
2019-04-22,1235.0,,WT,513 AVONDALE AVE,51.0,80.73.2,EXCEED 72HRS-ST,68.0,6413378.792026,1840388.667788,,2019.0
2019-08-01,1146.0,,GN,1015 SAN JULIAN ST S,56.0,80.49+,18 IN/CURB/COMM VEH,63.0,6485209.693167,1835856.397481,,2019.0
2019-06-27,1203.0,,BK,3235 SHERBOURNE DR,51.0,80.58L,PREFERENTIAL PARKING,68.0,6445727.747763,1833962.075422,,2019.0
2019-06-12,1424.0,,WT,3400 SEPULVEDA BLVD,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6433257.05251,1830368.292314,,2019.0
2019-02-21,124.0,,WT,690 ALFRED ST N,54.0,80.56E4+,RED ZONE,93.0,99999.0,99999.0,,2019.0
2019-06-05,1117.0,,BK,8101 3RD ST W,54.0,88.13B+,METER EXP.,63.0,6450880.993848001,1848829.271832,,2019.0
2019-03-11,1229.0,,SL,5563 EDGEWOOD PL,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0,,2019.0
2019-05-03,856.0,,BN,S/O 1440 25TH ST E,55.0,80.61,STANDNG IN ALLEY,68.0,99999.0,99999.0,,2019.0
2019-05-24,930.0,,BK,11952 DARLINGTON AVE,51.0,5204A-,DISPLAY OF TABS,25.0,6419860.545519,1840689.223974,,2019.0
2019-03-21,2147.0,,SL,1418 35TH ST W,55.0,22500E,BLOCKING DRIVEWAY,68.0,6470520.405787,1831473.39166,,2019.0
